question	answer	category	explanation	formula_id	variables	related_questions
四端子定数による送電端量の計算	\dot{V}_s=A\dot{V}_r+B\dot{I}_r,\quad \dot{I}_s=C\dot{V}_r+D\dot{I}_r	電力管理	受電端電流を負荷へ流れ込む向きとする符号規約です。問題文に送受電端電圧・電流、線路インピーダンス、アドミタンスまたは四端子定数が与えられ、「四端子定数による送電端量の計算」が問われる問題で使います。送受電端の電流方向を統一し、近似禁止なら複素量のまま送電端電圧・電流を順に求めます。	PM-LINE-015	""	""
無損失線路の進行波速度	v=\frac{1}{\sqrt{LC}}	電力管理	L、Cは単位長さ当たりのインダクタンスと静電容量です。問題文に進行波、特性インピーダンス、入射側と終端側のインピーダンスが与えられ、「無損失線路の進行波速度」が問われる問題で使います。入射側をZ1、終端側をZ2として、開放端・短絡端で反射係数の符号が妥当か確認します。	PM-LINE-016	""	""
サージインピーダンス負荷	P_{SIL}=\frac{V_L^2}{Z_c}	電力管理	V_Lは線間電圧、Z_cは1相のサージインピーダンスです。無効電力の発生と消費が釣り合う自然負荷を表します。問題文に進行波、特性インピーダンス、入射側と終端側のインピーダンスが与えられ、「サージインピーダンス負荷」が問われる問題で使います。入射側をZ1、終端側をZ2として、開放端・短絡端で反射係数の符号が妥当か確認します。	PM-LINE-017	""	""
進行電圧波の反射係数	\Gamma_V=\frac{Z_2-Z_1}{Z_2+Z_1}	電力管理	インピーダンスZ1の線路からZ2の終端へ入射するときの電圧反射係数です。問題文に進行波、特性インピーダンス、入射側と終端側のインピーダンスが与えられ、「進行電圧波の反射係数」が問われる問題で使います。入射側をZ1、終端側をZ2として、開放端・短絡端で反射係数の符号が妥当か確認します。	PM-LINE-018	""	""
進行電流波の反射係数	\Gamma_I=-\Gamma_V=\frac{Z_1-Z_2}{Z_1+Z_2}	電力管理	電流の正方向を入射波の進行方向に取るため、電圧反射係数と符号が逆になります。問題文に進行波、特性インピーダンス、入射側と終端側のインピーダンスが与えられ、「進行電流波の反射係数」が問われる問題で使います。入射側をZ1、終端側をZ2として、開放端・短絡端で反射係数の符号が妥当か確認します。	PM-LINE-019	""	""
進行電圧波の透過係数	\tau_V=1+\Gamma_V=\frac{2Z_2}{Z_1+Z_2}	電力管理	透過電圧を入射電圧で割った係数です。問題文に進行波、特性インピーダンス、入射側と終端側のインピーダンスが与えられ、「進行電圧波の透過係数」が問われる問題で使います。入射側をZ1、終端側をZ2として、開放端・短絡端で反射係数の符号が妥当か確認します。	PM-LINE-020	""	""
無損失リアクタンス送電線の有効電力	P=\frac{V_sV_r}{X}\sin\delta	電力管理	V_s、V_rは相電圧なら1相分、線間電圧なら三相合計として同じ形を使えます。問題文に送受電端電圧、線路リアクタンス、相差角または軽負荷条件が与えられ、「無損失リアクタンス送電線の有効電力」が問われる問題で使います。無損失近似と電力・無効電力の正方向を確認し、逆潮流ではP・Qの符号を母線注入規約へ合わせます。	PM-LINE-021	""	""
無損失リアクタンス送電線の受電端無効電力	Q_r=\frac{V_sV_r}{X}\cos\delta-\frac{V_r^2}{X}	電力管理	受電端へ供給される無効電力を正とする符号規約です。問題文に送受電端電圧、線路リアクタンス、相差角または軽負荷条件が与えられ、「無損失リアクタンス送電線の受電端無効電力」が問われる問題で使います。無損失近似と電力・無効電力の正方向を確認し、逆潮流ではP・Qの符号を母線注入規約へ合わせます。	PM-LINE-022	""	""
フェランチ効果の判定	軽負荷・無負荷の長距離線路では受電端電圧が送電端電圧より高くなり得る	電力管理	線路静電容量による進み電流と直列リアクタンスの電圧変化が原因です。問題文に送受電端電圧、線路リアクタンス、相差角または軽負荷条件が与えられ、「フェランチ効果の判定」が問われる問題で使います。無損失近似と電力・無効電力の正方向を確認し、逆潮流ではP・Qの符号を母線注入規約へ合わせます。	PM-LINE-023	""	""
架空線の放物線近似による中央たるみ	D=\frac{wS^2}{8T}	電力管理	wは単位長さ当たり合成荷重、Sは径間、Tは水平張力です。たるみが径間に比べて小さい条件で用います。問題文に径間、水平張力、単位長さ当たり荷重、温度または支持点高低差が与えられ、「架空線の放物線近似による中央たるみ」が問われる問題で使います。水平張力、径間、単位長さ当たり合成荷重を同じ単位にそろえ、事故前後の温度・荷重条件を区別します。	PM-LINE-024	""	""
放物線近似による架空線の長さ	l\simeq S+\frac{8D^2}{3S}	電力管理	両支持点が同じ高さで、Dは中央たるみです。問題文に径間、水平張力、単位長さ当たり荷重、温度または支持点高低差が与えられ、「放物線近似による架空線の長さ」が問われる問題で使います。水平張力、径間、単位長さ当たり合成荷重を同じ単位にそろえ、事故前後の温度・荷重条件を区別します。	PM-LINE-025	""	""
着氷雪と風圧を含む架空線の合成荷重	w=\sqrt{(w_c+w_i)^2+w_w^2}	電力管理	導体自重w_cと着氷雪荷重w_iは鉛直、風圧荷重w_wは水平として合成します。問題文に径間、水平張力、単位長さ当たり荷重、温度または支持点高低差が与えられ、「着氷雪と風圧を含む架空線の合成荷重」が問われる問題で使います。水平張力、径間、単位長さ当たり合成荷重を同じ単位にそろえ、事故前後の温度・荷重条件を区別します。	PM-LINE-026	""	""
高低差がある径間で低い支持点から最低点までの水平距離	x=\frac{S}{2}-\frac{hT}{wS}	電力管理	高い支持点が低い支持点よりhだけ高い場合です。最低点が径間外になることもあります。問題文に径間、水平張力、単位長さ当たり荷重、温度または支持点高低差が与えられ、「高低差がある径間で低い支持点から最低点までの水平距離」が問われる問題で使います。水平張力、径間、単位長さ当たり合成荷重を同じ単位にそろえ、事故前後の温度・荷重条件を区別します。	PM-LINE-027	""	""
温度・荷重変化に対する架空線の状態方程式	\frac{T_2-T_1}{EA}=\frac{w_2^2S^2}{24T_2^2}-\frac{w_1^2S^2}{24T_1^2}-\alpha(t_2-t_1)	電力管理	放物線近似で、Eはヤング率、Aは断面積、αは線膨張係数です。問題文に径間、水平張力、単位長さ当たり荷重、温度または支持点高低差が与えられ、「温度・荷重変化に対する架空線の状態方程式」が問われる問題で使います。水平張力、径間、単位長さ当たり合成荷重を同じ単位にそろえ、事故前後の温度・荷重条件を区別します。	PM-LINE-028	""	""
並行線路間の誘導起電力	\dot{E}_m=j\omega M\dot{I}	電力管理	Mは相互インダクタンスです。向きと極性は相互結合の基準方向で決まります。問題文に並行回線、電圧差、導体費、損失費または周波数が与えられ、「並行線路間の誘導起電力」が問われる問題で使います。等価回路や導体配置を先に描き、誘導・循環電流・保護リレーの電圧電流方向をそろえて評価します。	PM-LINE-029	""	""
電圧差による閉ループの循環電流	\dot{I}_c=\frac{\Delta\dot{V}}{Z_1+Z_2}	電力管理	並列回路やループ系統で、起電力差をループ全インピーダンスで割ります。問題文に並行回線、電圧差、導体費、損失費または周波数が与えられ、「電圧差による閉ループの循環電流」が問われる問題で使います。等価回路や導体配置を先に描き、誘導・循環電流・保護リレーの電圧電流方向をそろえて評価します。	PM-LINE-030	""	""
同一抵抗の回線をn回線並列にしたときの合成抵抗	R_{eq}=\frac{R}{n}	電力管理	総電流一定なら銅損は単回線の1/nになります。各回線に均等分流する条件です。問題文に並行回線、電圧差、導体費、損失費または周波数が与えられ、「同一抵抗の回線をn回線並列にしたときの合成抵抗」が問われる問題で使います。等価回路や導体配置を先に描き、誘導・循環電流・保護リレーの電圧電流方向をそろえて評価します。	PM-LINE-031	""	""
ケルビンの法則による経済的導体断面積の条件	導体断面積増加に伴う年間固定費の増分と年間電力損失費の減少分が等しい	電力管理	料金・負荷率などの係数は問題で与えられるため、基本の最適化条件を覚えます。問題文の並行回線、電圧差、導体費、損失費または周波数に注目し、「ケルビンの法則による経済的導体断面積の条件」を判断・説明する問題で使います。等価回路や導体配置を先に描き、誘導・循環電流・保護リレーの電圧電流方向をそろえて評価します。	PM-LINE-032	""	""
表皮効果が交流抵抗に与える影響	周波数・導体径・透磁率が大きいほど電流が表面に偏り、交流抵抗は増加する	電力管理	直流抵抗より交流抵抗が大きくなる定性的判断です。問題文に並行回線、電圧差、導体費、損失費または周波数が与えられ、「表皮効果が交流抵抗に与える影響」が問われる問題で使います。等価回路や導体配置を先に描き、誘導・循環電流・保護リレーの電圧電流方向をそろえて評価します。	PM-LINE-033	""	""
発電設備の熱効率	\eta=\frac{W_e}{Q_{in}}	電力管理	電気出力エネルギーを投入熱量で割ります。同じ時間のエネルギーまたは電力で比較します。問題文に入出力エネルギー、燃料発熱量、蒸気・冷却水条件または各設備効率が与えられ、「発電設備の熱効率」が問われる問題で使います。熱量と電力量の時間基準・単位をそろえ、効率は各段の入力と出力の向きを確認して計算します。	PM-GEN-001	""	""
熱効率と熱消費率の関係	h=\frac{3600}{\eta}\quad[\mathrm{kJ/kWh}]	電力管理	ηを小数で表し、1 kWh=3600 kJを用いた関係です。問題文に入出力エネルギー、燃料発熱量、蒸気・冷却水条件または各設備効率が与えられ、「熱効率と熱消費率の関係」が問われる問題で使います。熱量と電力量の時間基準・単位をそろえ、効率は各段の入力と出力の向きを確認して計算します。	PM-GEN-002	""	""
発電電力量と燃料発熱量から燃料消費量を求める式	m=\frac{3600E}{\eta H_u}	電力管理	EはkWh、H_uはkJ/kgとした場合にmがkgで得られます。問題文に入出力エネルギー、燃料発熱量、蒸気・冷却水条件または各設備効率が与えられ、「発電電力量と燃料発熱量から燃料消費量を求める式」が問われる問題で使います。熱量と電力量の時間基準・単位をそろえ、効率は各段の入力と出力の向きを確認して計算します。	PM-GEN-003	""	""
ボイラ効率	\eta_b=\frac{Q_{steam}}{Q_{fuel}}	電力管理	蒸気が受け取った熱量を燃料の投入熱量で割ります。問題文に入出力エネルギー、燃料発熱量、蒸気・冷却水条件または各設備効率が与えられ、「ボイラ効率」が問われる問題で使います。熱量と電力量の時間基準・単位をそろえ、効率は各段の入力と出力の向きを確認して計算します。	PM-GEN-004	""	""
タービン効率	\eta_t=\frac{W_{shaft}}{Q_{steam}}	電力管理	蒸気から得た軸仕事をタービンへ入った有効熱量で割る基本定義です。問題文に入出力エネルギー、燃料発熱量、蒸気・冷却水条件または各設備効率が与えられ、「タービン効率」が問われる問題で使います。熱量と電力量の時間基準・単位をそろえ、効率は各段の入力と出力の向きを確認して計算します。	PM-GEN-005	""	""
発電機効率	\eta_g=\frac{P_e}{P_{shaft}}	電力管理	発電機端電力を機械入力で割ります。問題文に入出力エネルギー、燃料発熱量、蒸気・冷却水条件または各設備効率が与えられ、「発電機効率」が問われる問題で使います。熱量と電力量の時間基準・単位をそろえ、効率は各段の入力と出力の向きを確認して計算します。	PM-GEN-006	""	""
直列に連なる設備の総合効率	\eta_{total}=\eta_1\eta_2\cdots\eta_n	電力管理	各段の出力が次段の入力になるとき、効率は積になります。問題文に入出力エネルギー、燃料発熱量、蒸気・冷却水条件または各設備効率が与えられ、「直列に連なる設備の総合効率」が問われる問題で使います。熱量と電力量の時間基準・単位をそろえ、効率は各段の入力と出力の向きを確認して計算します。	PM-GEN-007	""	""
所内率	r_{aux}=\frac{P_{aux}}{P_{gross}}	電力管理	発電端出力に対する所内消費電力の割合です。送電端出力はP_gross-P_auxです。問題文に入出力エネルギー、燃料発熱量、蒸気・冷却水条件または各設備効率が与えられ、「所内率」が問われる問題で使います。熱量と電力量の時間基準・単位をそろえ、効率は各段の入力と出力の向きを確認して計算します。	PM-GEN-008	""	""
発電端出力から送電端出力を求める式	P_{net}=P_{gross}(1-r_{aux})	電力管理	所内率r_auxを小数で用います。問題文に入出力エネルギー、燃料発熱量、蒸気・冷却水条件または各設備効率が与えられ、「発電端出力から送電端出力を求める式」が問われる問題で使います。熱量と電力量の時間基準・単位をそろえ、効率は各段の入力と出力の向きを確認して計算します。	PM-GEN-009	""	""
送電効率	\eta_{tr}=\frac{P_r}{P_s}=1-\frac{P_{loss}}{P_s}	電力管理	P_sは送電端入力、P_rは受電端出力です。問題文に入出力エネルギー、燃料発熱量、蒸気・冷却水条件または各設備効率が与えられ、「送電効率」が問われる問題で使います。熱量と電力量の時間基準・単位をそろえ、効率は各段の入力と出力の向きを確認して計算します。	PM-GEN-010	""	""
復水器の冷却水熱収支	Q=m_wc_p(t_{out}-t_{in})	電力管理	冷却水が受け取る熱量を質量流量と温度上昇から求めます。問題文に入出力エネルギー、燃料発熱量、蒸気・冷却水条件または各設備効率が与えられ、「復水器の冷却水熱収支」が問われる問題で使います。熱量と電力量の時間基準・単位をそろえ、効率は各段の入力と出力の向きを確認して計算します。	PM-GEN-011	""	""
復水器の蒸気側と冷却水側の熱収支	m_s(h_{in}-h_{out})=m_wc_p(t_{out}-t_{in})	電力管理	外部への熱損失を無視した定常状態の関係です。問題文に入出力エネルギー、燃料発熱量、蒸気・冷却水条件または各設備効率が与えられ、「復水器の蒸気側と冷却水側の熱収支」が問われる問題で使います。熱量と電力量の時間基準・単位をそろえ、効率は各段の入力と出力の向きを確認して計算します。	PM-GEN-012	""	""
排熱回収複合発電の総合効率	\eta_{cc}=\eta_g+(1-\eta_g)\eta_s	電力管理	ガスタービン排熱のうちη_sを蒸気系で電力へ変換する理想化した関係です。問題文に入出力エネルギー、燃料発熱量、蒸気・冷却水条件または各設備効率が与えられ、「排熱回収複合発電の総合効率」が問われる問題で使います。熱量と電力量の時間基準・単位をそろえ、効率は各段の入力と出力の向きを確認して計算します。	PM-GEN-013	""	""
水力発電所の出力	P=9.8QH\eta\quad[\mathrm{kW}]	電力管理	Qはm³/s、Hはm、ηは水車・発電機を含む総合効率です。問題文に流量、有効落差・揚程、水量、運転時間および発電・ポンプ効率が与えられ、「水力発電所の出力」が問われる問題で使います。発電時は効率を掛け、揚水時は必要入力を求めるため効率で割る点を取り違えないようにします。	PM-GEN-014	""	""
揚水に必要なポンプ入力	P_{pump}=\frac{9.8QH}{\eta_p}\quad[\mathrm{kW}]	電力管理	Qはm³/s、Hはm、η_pはポンプ・電動機を含む効率です。問題文に流量、有効落差・揚程、水量、運転時間および発電・ポンプ効率が与えられ、「揚水に必要なポンプ入力」が問われる問題で使います。発電時は効率を掛け、揚水時は必要入力を求めるため効率で割る点を取り違えないようにします。	PM-GEN-015	""	""
揚水発電の往復効率	\eta_{round}=\frac{E_{gen}}{E_{pump}}\simeq\eta_p\eta_g	電力管理	同じ水量・有効落差で、導水損失などを各効率へ含める近似です。問題文に流量、有効落差・揚程、水量、運転時間および発電・ポンプ効率が与えられ、「揚水発電の往復効率」が問われる問題で使います。発電時は効率を掛け、揚水時は必要入力を求めるため効率で割る点を取り違えないようにします。	PM-GEN-016	""	""
貯水池の水量収支	\Delta V=(Q_{in}-Q_{out})\Delta t	電力管理	流量の単位と時間の単位をそろえます。蒸発や漏水がある場合は別項を加えます。問題文に流量、有効落差・揚程、水量、運転時間および発電・ポンプ効率が与えられ、「貯水池の水量収支」が問われる問題で使います。発電時は効率を掛け、揚水時は必要入力を求めるため効率で割る点を取り違えないようにします。	PM-GEN-017	""	""
設備利用率	CF=\frac{E_{annual}}{P_N\times8760}	電力管理	年間発電電力量を定格出力で年間連続運転した電力量で割ります。問題文に最大需要、設備容量、平均需要、年間電力量または損失電力量が与えられ、「設備利用率」が問われる問題で使います。最大値・平均値・設備容量のどれを分母にする指標かを確認し、負荷曲線は面積として積算します。	PM-GEN-018	""	""
負荷率	LF=\frac{P_{avg}}{P_{max}}=\frac{E}{P_{max}T}	電力管理	平均需要を最大需要で割ります。期間Tを明示して用います。問題文に最大需要、設備容量、平均需要、年間電力量または損失電力量が与えられ、「負荷率」が問われる問題で使います。最大値・平均値・設備容量のどれを分母にする指標かを確認し、負荷曲線は面積として積算します。	PM-GEN-019	""	""
需要率	DF=\frac{P_{max}}{P_{connected}}	電力管理	最大需要電力を設備の合計接続容量で割ります。問題文に最大需要、設備容量、平均需要、年間電力量または損失電力量が与えられ、「需要率」が問われる問題で使います。最大値・平均値・設備容量のどれを分母にする指標かを確認し、負荷曲線は面積として積算します。	PM-GEN-020	""	""
不等率	D_v=\frac{\sum P_{max,i}}{P_{max,system}}	電力管理	各需要家の個別最大需要の和を系統同時最大需要で割るため、通常1以上です。問題文に最大需要、設備容量、平均需要、年間電力量または損失電力量が与えられ、「不等率」が問われる問題で使います。最大値・平均値・設備容量のどれを分母にする指標かを確認し、負荷曲線は面積として積算します。	PM-GEN-021	""	""
年負荷曲線から年間電力量を求める方法	E=\int_0^{8760}P(t)\,dt	電力管理	負荷持続曲線でも曲線下の面積は同じ年間電力量です。問題文に最大需要、設備容量、平均需要、年間電力量または損失電力量が与えられ、「年負荷曲線から年間電力量を求める方法」が問われる問題で使います。最大値・平均値・設備容量のどれを分母にする指標かを確認し、負荷曲線は面積として積算します。	PM-GEN-022	""	""
損失率	F_{loss}=\frac{E_{loss}}{P_{loss,max}T}	電力管理	期間損失電力量を最大損失が全期間続いた電力量で割ります。負荷率との経験的近似は問題で与えられるものを使います。問題文に最大需要、設備容量、平均需要、年間電力量または損失電力量が与えられ、「損失率」が問われる問題で使います。最大値・平均値・設備容量のどれを分母にする指標かを確認し、負荷曲線は面積として積算します。	PM-GEN-023	""	""
燃料費曲線の増分燃料費	\lambda_i=\frac{dF_i(P_i)}{dP_i}	電力管理	発電出力をわずかに増やしたときの燃料費増分です。問題文に各発電機の燃料費曲線、出力制約、需要および送電損失が与えられ、「燃料費曲線の増分燃料費」が問われる問題で使います。各発電機の増分燃料費をそろえ、上限・下限に達した機は固定して残りの機で需給平衡を満たします。	PM-GEN-024	""	""
送電損失を無視した経済負荷配分の条件	\frac{dF_1}{dP_1}=\frac{dF_2}{dP_2}=\cdots=\lambda	電力管理	各発電機が出力上下限制約内にあるとき、増分燃料費を等しくします。問題文の各発電機の燃料費曲線、出力制約、需要および送電損失に注目し、「送電損失を無視した経済負荷配分の条件」を判断・説明する問題で使います。各発電機の増分燃料費をそろえ、上限・下限に達した機は固定して残りの機で需給平衡を満たします。	PM-GEN-025	""	""
送電損失を考慮する経済負荷配分のペナルティ係数	L_i=\frac{1}{1-\partial P_L/\partial P_i}	電力管理	発電機iを増分したときの送電損失増分を補正します。問題文に各発電機の燃料費曲線、出力制約、需要および送電損失が与えられ、「送電損失を考慮する経済負荷配分のペナルティ係数」が問われる問題で使います。各発電機の増分燃料費をそろえ、上限・下限に達した機は固定して残りの機で需給平衡を満たします。	PM-GEN-026	""	""
送電損失を考慮した協調方程式	L_i\frac{dF_i}{dP_i}=\lambda	電力管理	上下限制約に達していない各発電機で、ペナルティ係数付き増分費を等しくします。問題文に各発電機の燃料費曲線、出力制約、需要および送電損失が与えられ、「送電損失を考慮した協調方程式」が問われる問題で使います。各発電機の増分燃料費をそろえ、上限・下限に達した機は固定して残りの機で需給平衡を満たします。	PM-GEN-027	""	""
発電電力の需給平衡条件	\sum_iP_i=P_D+P_L	電力管理	総発電電力は需要電力と送電損失の和に一致します。問題文の各発電機の燃料費曲線、出力制約、需要および送電損失に注目し、「発電電力の需給平衡条件」を判断・説明する問題で使います。各発電機の増分燃料費をそろえ、上限・下限に達した機は固定して残りの機で需給平衡を満たします。	PM-GEN-028	""	""
出力制約付き経済負荷配分の判断	P_{i,min}\le P_i\le P_{i,max}	電力管理	無制約解が上下限を外れた発電機は限界値に固定し、残りで再配分します。問題文の各発電機の燃料費曲線、出力制約、需要および送電損失に注目し、「出力制約付き経済負荷配分の判断」を判断・説明する問題で使います。各発電機の増分燃料費をそろえ、上限・下限に達した機は固定して残りの機で需給平衡を満たします。	PM-GEN-029	""	""
起動費を含む運転費	C_{total}=\sum_iF_i(P_i)+\sum_iC_{start,i}	電力管理	起動停止計画では燃料費だけでなく起動費も加えて比較します。問題文に各発電機の燃料費曲線、出力制約、需要および送電損失が与えられ、「起動費を含む運転費」が問われる問題で使います。各発電機の増分燃料費をそろえ、上限・下限に達した機は固定して残りの機で需給平衡を満たします。	PM-GEN-030	""	""
無損失系統の電力相差角特性	P_e=P_{max}\sin\delta=\frac{EV}{X}\sin\delta	電力管理	丸形同期機と無限大母線間の合成リアクタンスをXとした基本式です。問題文に機械入力、電気出力、内部電圧、リアクタンス、相差角または事故除去条件が与えられ、「無損失系統の電力相差角特性」が問われる問題で使います。事故前・事故中・事故除去後で電力相差角曲線を分け、加速面積と減速面積を同じ基準で比較します。	PM-STB-001	""	""
同期機の加速電力	P_a=P_m-P_e	電力管理	P_aが正なら回転子は加速し、負なら減速します。問題文に機械入力、電気出力、内部電圧、リアクタンス、相差角または事故除去条件が与えられ、「同期機の加速電力」が問われる問題で使います。事故前・事故中・事故除去後で電力相差角曲線を分け、加速面積と減速面積を同じ基準で比較します。	PM-STB-002	""	""
同期機の慣性定数	H=\frac{\tfrac{1}{2}J\omega_s^2}{S_N}	電力管理	定格容量当たりの同期速度時回転エネルギーで、通常は秒を単位とします。問題文に機械入力、電気出力、内部電圧、リアクタンス、相差角または事故除去条件が与えられ、「同期機の慣性定数」が問われる問題で使います。事故前・事故中・事故除去後で電力相差角曲線を分け、加速面積と減速面積を同じ基準で比較します。	PM-STB-003	""	""
単位法で表した同期機の動揺方程式	\frac{2H}{\omega_s}\frac{d^2\delta}{dt^2}=P_m-P_e	電力管理	減衰を無視し、P_mとP_eを同一容量基準のp.u.で表します。問題文に機械入力、電気出力、内部電圧、リアクタンス、相差角または事故除去条件が与えられ、「単位法で表した同期機の動揺方程式」が問われる問題で使います。事故前・事故中・事故除去後で電力相差角曲線を分け、加速面積と減速面積を同じ基準で比較します。	PM-STB-004	""	""
等面積法の安定限界条件	\int_{\delta_0}^{\delta_c}(P_m-P_{e,f})d\delta=\int_{\delta_c}^{\delta_{max}}(P_{e,p}-P_m)d\delta	電力管理	故障中の加速面積と故障除去後の減速面積が等しい限界状態です。問題文の機械入力、電気出力、内部電圧、リアクタンス、相差角または事故除去条件に注目し、「等面積法の安定限界条件」を判断・説明する問題で使います。事故前・事故中・事故除去後で電力相差角曲線を分け、加速面積と減速面積を同じ基準で比較します。	PM-STB-005	""	""
定常運転点の安定判別	P_m=P_e,\quad \left.\frac{dP_e}{d\delta}\right|_{\delta_0}>0	電力管理	微小な角度増加で電気出力が増え、復元力が働く運転点が安定です。問題文の機械入力、電気出力、内部電圧、リアクタンス、相差角または事故除去条件に注目し、「定常運転点の安定判別」を判断・説明する問題で使います。事故前・事故中・事故除去後で電力相差角曲線を分け、加速面積と減速面積を同じ基準で比較します。	PM-STB-006	""	""
同期化電力係数	P_s=\frac{dP_e}{d\delta}=P_{max}\cos\delta	電力管理	電力相差角特性の傾きで、小擾乱時の同期化力を表します。問題文に機械入力、電気出力、内部電圧、リアクタンス、相差角または事故除去条件が与えられ、「同期化電力係数」が問われる問題で使います。事故前・事故中・事故除去後で電力相差角曲線を分け、加速面積と減速面積を同じ基準で比較します。	PM-STB-007	""	""
無限大母線の基本的な扱い	接続する1台の発電機の出力変化では母線電圧の大きさと周波数は変化しない	電力管理	有効電力は主に原動機入力、無効電力は主に界磁で調整します。問題文の機械入力、電気出力、内部電圧、リアクタンス、相差角または事故除去条件に注目し、「無限大母線の基本的な扱い」を判断・説明する問題で使います。事故前・事故中・事故除去後で電力相差角曲線を分け、加速面積と減速面積を同じ基準で比較します。	PM-STB-008	""	""
ガバナ速度調定率	R=-\frac{\Delta f/f_N}{\Delta P/P_N}	電力管理	出力増加時に周波数指令が下がる垂下特性を正のRで表す符号規約です。問題文に負荷変化、速度調定率、周波数偏差および発電機・負荷の周波数特性が与えられ、「ガバナ速度調定率」が問われる問題で使います。出力増加と周波数偏差の符号を固定し、各発電機の調定率と負荷周波数特性を同一容量基準へ換算します。	PM-STB-009	""	""
ガバナ垂下特性による出力変化	\Delta P_G=-\frac{1}{R}\Delta f	電力管理	周波数と出力を同じp.u.基準で表した一次近似です。問題文に負荷変化、速度調定率、周波数偏差および発電機・負荷の周波数特性が与えられ、「ガバナ垂下特性による出力変化」が問われる問題で使います。出力増加と周波数偏差の符号を固定し、各発電機の調定率と負荷周波数特性を同一容量基準へ換算します。	PM-STB-010	""	""
複数発電機の一次調整力による負荷分担	\Delta P_i=\frac{1/R_i}{\sum_k1/R_k}\Delta P_D	電力管理	負荷周波数特性と損失を無視すると、出力増分は1/Rに比例します。問題文に負荷変化、速度調定率、周波数偏差および発電機・負荷の周波数特性が与えられ、「複数発電機の一次調整力による負荷分担」が問われる問題で使います。出力増加と周波数偏差の符号を固定し、各発電機の調定率と負荷周波数特性を同一容量基準へ換算します。	PM-STB-011	""	""
負荷周波数特性を含む定常周波数偏差	\Delta f=-\frac{\Delta P_D}{D+\sum_i1/R_i}	電力管理	Dは周波数低下に対して負荷が減少する係数です。符号規約を明示して使います。問題文に負荷変化、速度調定率、周波数偏差および発電機・負荷の周波数特性が与えられ、「負荷周波数特性を含む定常周波数偏差」が問われる問題で使います。出力増加と周波数偏差の符号を固定し、各発電機の調定率と負荷周波数特性を同一容量基準へ換算します。	PM-STB-012	""	""
電圧安定限界の基本判定	潮流方程式ヤコビアンが特異に近づくと電圧変化に対する無効電力感度が増大する	電力管理	P-V曲線やQ-V曲線の折返し点が静的電圧安定限界の目安です。問題文に受電端電圧と負荷電力の変化が与えられ、「電圧安定限界の基本判定」が問われる問題で使います。スラック・PV・PQ母線の既知量を整理し、母線アドミタンス行列の符号規約を一貫させます。	PM-STB-013	""	""
逆潮流の符号判断	設定した正方向と反対へ有効電力が流れるとPの符号が負になる	電力管理	発電・負荷規約を混在させず、四端子式と複素電力式で電流方向を統一します。問題文の潮流の向きと母線への注入・受電の符号規約に注目し、「逆潮流の符号判断」を判断・説明する問題で使います。逆潮流では送電・受電の正方向を先に決め、母線注入電力の符号へ統一します。	PM-STB-014	""	""
接地電位上昇	GPR=I_gR_g	電力管理	接地網へ流入する電流I_gと接地抵抗R_gの積です。問題文に接地電流、接地抵抗、接地物と地表の電位分布または歩幅が与えられ、「接地電位上昇」が問われる問題で使います。接地電流の帰路と地表電位分布を描き、人体抵抗には手足・履物・表面層の直並列関係を反映します。	PM-GRD-001	""	""
接触電圧の基本定義	E_{touch}=V_{object}-V_{feet}	電力管理	接地された金属体と人の足位置の地表電位との差です。問題文に接地電流、接地抵抗、接地物と地表の電位分布または歩幅が与えられ、「接触電圧の基本定義」が問われる問題で使います。接地電流の帰路と地表電位分布を描き、人体抵抗には手足・履物・表面層の直並列関係を反映します。	PM-GRD-002	""	""
歩幅電圧の基本定義	E_{step}=V(x)-V(x+s)	電力管理	地表上で歩幅sだけ離れた2点間の電位差です。問題文に接地電流、接地抵抗、接地物と地表の電位分布または歩幅が与えられ、「歩幅電圧の基本定義」が問われる問題で使います。接地電流の帰路と地表電位分布を描き、人体抵抗には手足・履物・表面層の直並列関係を反映します。	PM-GRD-003	""	""
接触時の人体電流	I_B=\frac{E_{touch}}{R_B+R_{contact}}	電力管理	R_contactには手・足・履物・表面層の等価抵抗を、実際の直並列接続に従って含めます。問題文に接触・歩幅電圧と人体・履物・地表面層の等価抵抗が与えられ、「接触時の人体電流」が問われる問題で使います。接地電流の帰路と地表電位分布を描き、人体抵抗には手足・履物・表面層の直並列関係を反映します。	PM-GRD-004	""	""
歩幅電圧による人体電流	I_B=\frac{E_{step}}{R_{foot1}+R_B+R_{foot2}}	電力管理	両足接触抵抗と人体抵抗は歩幅電流経路で直列になります。問題文に接触・歩幅電圧と人体・履物・地表面層の等価抵抗が与えられ、「歩幅電圧による人体電流」が問われる問題で使います。接地電流の帰路と地表電位分布を描き、人体抵抗には手足・履物・表面層の直並列関係を反映します。	PM-GRD-005	""	""
垂直接地棒の接地抵抗近似	R_g\simeq\frac{\rho}{2\pi l}\left(\ln\frac{4l}{d}-1\right)	電力管理	一様大地中の細長い単独接地棒に対する代表近似です。ρは大地抵抗率です。問題文に接触・歩幅電圧と人体・履物・地表面層の等価抵抗が与えられ、「垂直接地棒の接地抵抗近似」が問われる問題で使います。接地電流の帰路と地表電位分布を描き、人体抵抗には手足・履物・表面層の直並列関係を反映します。	PM-GRD-006	""	""
